Pais,Code,Ano,Eolica,Solar,Outras Fontes,Hidroeletrica,Continente,Sub-região
Algeria,DZA,1965,0.0,0.0,0.0,0.4,Africa,Northern Africa
Algeria,DZA,1966,0.0,0.0,0.0,0.355,Africa,Northern Africa
Algeria,DZA,1967,0.0,0.0,0.0,0.41,Africa,Northern Africa
Algeria,DZA,1968,0.0,0.0,0.0,0.563,Africa,Northern Africa
Algeria,DZA,1969,0.0,0.0,0.0,0.361,Africa,Northern Africa
Algeria,DZA,1970,0.0,0.0,0.0,0.58,Africa,Northern Africa
Algeria,DZA,1971,0.0,0.0,0.0,0.33,Africa,Northern Africa
Algeria,DZA,1972,0.0,0.0,0.0,0.495,Africa,Northern Africa
Algeria,DZA,1973,0.0,0.0,0.0,0.752,Africa,Northern Africa
Algeria,DZA,1974,0.0,0.0,0.0,0.497,Africa,Northern Africa
Algeria,DZA,1975,0.0,0.0,0.0,0.328,Africa,Northern Africa
Algeria,DZA,1976,0.0,0.0,0.0,0.389,Africa,Northern Africa
Algeria,DZA,1977,0.0,0.0,0.0,0.269,Africa,Northern Africa
Algeria,DZA,1978,0.0,0.0,0.0,0.25,Africa,Northern Africa
Algeria,DZA,1979,0.0,0.0,0.0,0.291,Africa,Northern Africa
Algeria,DZA,1980,0.0,0.0,0.0,0.257,Africa,Northern Africa
Algeria,DZA,1981,0.0,0.0,0.0,0.366,Africa,Northern Africa
Algeria,DZA,1982,0.0,0.0,0.0,0.479,Africa,Northern Africa
Algeria,DZA,1983,0.0,0.0,0.0,0.235,Africa,Northern Africa
Algeria,DZA,1984,0.0,0.0,0.0,0.452,Africa,Northern Africa
Algeria,DZA,1985,0.0,0.0,0.0,0.646,Africa,Northern Africa
Algeria,DZA,1986,0.0,0.0,0.0,0.25,Africa,Northern Africa
Algeria,DZA,1987,0.0,0.0,0.0,0.499,Africa,Northern Africa
Algeria,DZA,1988,0.0,0.0,0.0,0.183,Africa,Northern Africa
Algeria,DZA,1989,0.0,0.0,0.0,0.226,Africa,Northern Africa
Algeria,DZA,1990,0.0,0.0,0.0,0.135,Africa,Northern Africa
Algeria,DZA,1991,0.0,0.0,0.0,0.293,Africa,Northern Africa
Algeria,DZA,1992,0.0,0.0,0.0,0.199,Africa,Northern Africa
Algeria,DZA,1993,0.0,0.0,0.0,0.353,Africa,Northern Africa
